ap_position,can1errors,can2errors,can3errors,can4errors,can5errors,can6errors,can7errors,can8errors,can9errors,klemme15_ze_94_v,klemme15_ze_a1_9_v,klemme30_ze_90_2_v,buslast_can10_percentage,buslast_can11_percentage,buslast_can12_percentage,buslast_can13_percentage,buslast_can14_percentage,buslast_can15_percentage,buslast_can16_percentage,buslast_can17_percentage,can17busload_percentage,buslast_can18_percentage,can18busload_percentage,buslast_can19_percentage,can19busload_percentage,buslast_can1_percentage,buslast_can20_percentage,buslast_can21_percentage,buslast_can22_percentage,buslast_can25_percentage,buslast_can26_percentage,buslast_can2_percentage,buslast_can3_percentage,buslast_can4_percentage,buslast_can5_percentage,buslast_can6_percentage,buslast_can7_percentage,buslast_can8_percentage,buslast_can9_percentage,current_gear,gps_geschwindigkeit_kmh,data1f_counter,edc_version,engine_speed2_ms,engine_torque2_nm,i_ambientairtemperature_basis_gradc,kilometerstand_m,kilometerstand_tkm,t_tot_veh_dist_tkm,lv_distance_tsd_tkm,loggermbsfree_mbyte,m_enginecoolanttemphr_base_gradc,mt_elekt_generatorleistung_frigo_w,mt_gps_velocity_kmh,mt_ptc_hv_heizmedium_sensor_2_gradc,mt_ptc_hv_i_ist_a,pe_aircompressor_act_motortemp_gradc,pe_aircompressor_act_power_kw,pe_aircompressor_act_torque_nm,pe_aircompressor_act_speed_rpm,pe_chiller_act_power_kw,pe_chiller_act_torque_nm,pe_chiller_act_speed_rpm,pe_dcu_act_dcbuspower_kw,pe_hvlm_stecker_status,pe_highpowercurrent_a,pe_highpowervoltage_v,pe_motorspeed_rpm,pe_motortorqueestimated_nm,pe_nlg_accurrmaxcp_master_a,pe_nlg_accurrmaxpp_master,pe_psu_act_current_a,pe_psu_act_dcbuspower_kw,pe_psu_act_power_kw,pe_psu_act_temperature_gradc,pe_psu_act_voltage_v,pe_steeringpump_act_motortemp_gradc,pe_steeringpump_act_power_kw,pe_steeringpump_act_torque_nm,pe_steeringpump_act_speed_rpm,pe_s_iistplc_a,pe_s_isollplc_a,park_break_switch_obd,post_triggerclock,spn_view,t1_bms2_energieinhalt_wh,t1_bms2_istspannung_v,t1_bms2_iststrom_a,t1_bms2_socscaled_percentage,t1_bms2_spn,t1_bms2_temperatur_gradc,t1_bms3_energieinhalt_wh,t1_bms3_istspannung_v,t1_bms3_iststrom_a,t1_bms3_socscaled_percentage,t1_bms3_spn,t1_bms3_temperatur_gradc,t1_bms4_energieinhalt_wh,t1_bms4_istspannung_v,t1_bms4_iststrom_a,t1_bms4_socscaled_percentage,t1_bms4_spn,t1_bms4_temperatur_gradc,t1_bms5_energieinhalt_wh,t1_bms5_istspannung_v,t1_bms5_iststrom_a,t1_bms5_socscaled_percentage,t1_bms5_spn,t1_bms5_temperatur_gradc,t1_bms6_energieinhalt_wh,t1_bms6_istspannung_v,t1_bms6_iststrom_a,t1_bms6_socscaled_percentage,t1_bms6_spn,t1_bms6_temperatur_gradc,t1_bms7_energieinhalt_wh,t1_bms7_istspannung_v,t1_bms7_iststrom_a,t1_bms7_socscaled_percentage,t1_bms7_spn,t1_bms7_temperatur_gradc,t2_bms2_energieinhalt_wh,t2_bms2_istspannung_v,t2_bms2_iststrom_a,t2_bms2_socscaled_percentage,t2_bms2_spn,t2_bms2_temperatur_gradc,t2_bms3_energieinhalt_wh,t2_bms3_istspannung_v,t2_bms3_iststrom_a,t2_bms3_socscaled_percentage,t2_bms3_spn,t2_bms3_temperatur_gradc,t2_bms4_energieinhalt_wh,t2_bms4_istspannung_v,t2_bms4_iststrom_a,t2_bms4_socscaled_percentage,t2_bms4_spn,t2_bms4_temperatur_gradc,t2_bms5_energieinhalt_wh,t2_bms5_istspannung_v,t2_bms5_iststrom_a,t2_bms5_socscaled_percentage,t2_bms5_spn,t2_bms5_temperatur_gradc,t2_bms6_energieinhalt_wh,t2_bms6_istspannung_v,t2_bms6_iststrom_a,t2_bms6_socscaled_percentage,t2_bms6_spn,t2_bms6_temperatur_gradc,t2_bms7_energieinhalt_wh,t2_bms7_istspannung_v,t2_bms7_iststrom_a,t2_bms7_socscaled_percentage,t2_bms7_spn,t2_bms7_temperatur_gradc,i_apposition1_basis_percentage,i_bpposition_basis_percentage,t_cc_active,t_cc_set_speed_kmh,t_gross_comb_veh_weight_kg,t_act_eng_torque_percentage,t_act_rd_torque_percentage,t_current_gear,t_retarder_level,t_veh_speed_mtco_kmh,v_imaxchconttesoptsoh_base_a,v_imaxdischconttesoptsoh_base_a,v_socactualtes_base_percentage,v_sohactualtes_base_percentage,v_actualtemp_tes_base_gradc,v_clamp15netw_base,v_plausiacttes_base_a,v_plausuacttes_base_v,v_statemultites_base,vehicle_speed2_kmh,ggps_numsatactive,ggps_numsatview,hostcam_info,basis30,basis32,basis49,basis50,Breakdown
0,0,0,1583,0,0,0,0,0,606,0.003662,0,0.003662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,37,30,26,37,129,0,23,0,8128,129,20.59375,50.935,10000,0,0,30506,35.34375,0,0,38,0,23,0,0,0,1.92,13.2,1409,1.935,3,-1.25,692,0,1.25,0,0,52.9,1.5,1.515,39,28.765,45,0,0,0,195,200,1,0,0,10764,691.25,15.5,66.88,0,24.5,10778,691.25,16,66.71,0,24.7,10708,690.75,15.5,66.73,0,24.7,10716,692,15.5,66.32,0,24.7,10790,691.75,16,67.14,0,24.9,10828,691.25,16,66.86,0,24.8,10756,691.5,16,67.07,0,25,10650,691.25,16,66.27,0,24.6,10788,691,16,66.97,0,24.8,10782,691.75,16,67.07,3070,25.2,10688,691.25,15.5,67.27,0,24.6,10644,691.25,16,66.38,0,24.7,0,0,0,255,655350,129,0,129,0,0,398.6,-1053.3,66.9,0,24.5,1,189.62,691,204,0,8,12,0,0,0,0,0,0
0,0,0,806,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,37,30,0,37,129,0,2,0,8128,129,24.46875,76.16,26100,0,0,30605,41.65625,0,0,-50,0,23,0,0,0,0,0,0,0,1,0,728,0,-0.5,0,0,44.9,1.31,1.32,44,29.367,23,0,0,0,0,0,1,0,3314,15566,727.75,0,93.56,0,26.7,15670,727.5,0,93.53,0,26.5,15480,727.75,0,93.46,0,26.5,15600,728,0,93.55,0,26.5,4604,652.25,0,33.86,0,26.5,15586,728.5,0,93.49,0,26.6,15560,727.5,0,93.53,0,26.6,15374,727.5,0,93.51,0,26.5,15624,728.25,0,93.49,0,26.6,15598,727.75,0,93.53,0,26.8,15522,728,0,93.52,0,26.6,15484,728,0,93.52,0,26.7,0,0,0,255,655350,129,0,129,0,0,32.1,-968.8,93.5,0,26.5,1,0.12,721.15,187,0,8,11,0,0,0,0,0,0
0,0,0,791,0,0,0,0,0,606,0.003662,0,0.003662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,37,30,26,37,129,0,23,0,8128,129,20.59375,50.935,10000,0,0,30516,35.34375,0,0,47,0,24,0,0,0,0,0,0,0,3,-1.25,670,0,0.875,0,0,43.1,1.23,1.24,40,28.767,48,0,0,0,195,200,1,0,0,7296,669.25,16,47.41,0,25,7496,669.5,16,48.22,0,25,7302,669,16,47.55,0,25.2,7412,670,16,47.73,0,25,7254,669.75,16,47.23,0,25,7370,669.25,16,47.74,0,25,7236,669.5,16,47.28,0,25,7348,669.5,16,47.56,0,25,7398,669,16,47.78,0,25,7272,669.75,16,47.39,3070,25,7120,669.25,16,46.95,0,25,7342,669.25,16,47.69,0,25.1,0,0,0,255,655350,129,0,129,0,0,450.7,-1005.1,47.4,0,24.5,1,192.12,669.05,204,0,9,12,0,0,0,0,0,0
7.2,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,31,40,71,55,49,32,0,0,1,26.4,36,0,745.375,0,23.375,93.04,12400,0,0,31140,34.3125,0,26.4,-50,0,41,0,0,0,0,0,0,0,1,-11,719,738,-107.875,0,0,39.8,2.365,1.17,41,29.353,47,1.2,5,2986,0,0,0,0,4015,14584,718.75,0.5,88.36,0,23.3,14580,719.5,0.5,88.39,3094,23,14554,718.25,0.5,88.48,3094,23.5,14704,719,0.5,88.46,3094,23.1,15596,719,0,88.39,3094,23.5,14516,719.25,0.5,88.36,0,24.2,0,0,-1024,0,0,0,0,0,-1024,0,0,0,0,0,-1024,0,0,0,0,0,-1024,0,0,0,0,0,-1024,0,0,0,0,0,-1024,0,0,0,7.2,0,0,255,24000,0,0,1,0,18.498816,41.55,-701,88.4,10.4,23.5,1,6.12,719.05,136,19.17464,9,11,0,0,0,0,0,0
0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,29,40,71,55,37,30,3,37,1,77,2,0,3205.125,13,23.25,24.31,31000,0,0,31326,31.40625,0,77,-50,0,31,0,0,0,0,0,0,0,1,202.5,686,3206,275.5,0,0,49.05,2.605,1.44,36,29.367,50,1.165,3.8,2976,0,0,0,0,3314,12880,686.25,-16,72.95,0,23.4,12720,686.25,-16,71.99,0,23.5,12652,686.5,-15.5,72.06,0,23.4,12878,686.25,-16,72.99,0,23,9864,676,0,58.83,0,22.5,12870,686.25,-16,73.02,0,23.4,13018,686,-16,72.14,0,23.7,13216,686.25,-16,73.08,0,23.4,12880,686.5,-16,72.99,0,23.3,12816,686.25,-15.5,72.01,3094,23.5,12838,686.75,-16,73.16,3094,23.5,12660,686.25,-16,72.97,0,24,0,0,1,81,24000,13,0,1,0,80.494848,242.6,-959.6,72.8,0,23,1,-174.38,685.15,187,80.04943,4,12,0,0,0,0,0,0
0,0,0,1583,0,0,0,0,0,606,0.005493,0,0.003662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,37,30,26,37,129,0,23,0,8128,129,20.59375,50.935,10000,0,0,30498,35.34375,0,0,34,0,23,0,0,0,1.95,13.2,1409,1.935,3,-1.25,707,0,1.25,0,0,52.55,1.5,1.515,39,28.777,43,0,0,0,124,128,1,0,0,12986,706.75,10,79.33,0,23,13062,706.75,10,79.33,0,23.3,12924,706.25,9.5,79.25,0,23.4,13044,707.5,10,79.33,0,23.3,12966,707.25,10,79.43,0,23.4,13026,706.75,10,79.4,0,23.4,12912,707,10,79.22,0,23.3,13006,706.75,10,79.29,0,23.3,12998,706.5,10,79.27,0,23.3,12942,707.25,10,79.3,3070,23.7,12820,706.75,10,79.45,0,23.1,12980,706.75,10,79.45,0,23.4,0,0,0,255,655350,129,0,129,0,0,122.55,-1049.55,79.4,0,23,1,119.62,706.3,204,0,9,11,0,0,0,0,0,0
36.8,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,29,40,71,55,37,30,0,37,1,55.1,3,0,2336.375,14,22.53125,97.7,22000,0,0,31323,30.03125,0,55.1,-50,0,29,0,0,0,0,0,0,0,1,144.25,656,2344,315.625,0,0,49.55,2.46,1.45,36,29.363,51,1.005,3.6,2989,0,0,0,0,3306,6936,655.75,-11.5,44.32,0,22.4,7130,655.75,-11.5,44.78,0,22.4,6960,655.75,-11.5,44.55,0,22.5,6992,655.75,-11.5,44.58,0,22.2,7096,655.5,-11,44.84,0,22.4,7298,655.75,-11.5,45.12,0,22.4,6968,655.5,-11.5,44.25,0,22.9,7008,655.5,-11,44.46,0,22.4,6966,655.5,-11.5,44.35,0,22.1,7302,655.75,-11.5,44.88,0,22.5,7366,655.75,-11.5,45.16,0,22.4,6962,655.75,-11.5,44.31,0,23.1,36.8,0,0,61,14400,14,0,1,0,58.293144,422.15,-920.8,44.5,0,22.5,1,-137.88,655,204,58.01267,9,11,0,0,0,0,0,0
42,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,38,40,71,55,49,32,0,0,1,14.8,2,0,736.125,29,25.125,82.585,5800,0,0,31336,31.8125,0,14.8,-50,0,40,0,0,0,0,0,0,0,1,121.25,648,758,869.125,0,0,50.25,2.285,1.475,36,29.375,45,0.815,2.8,3027,0,0,0,0,3010,4418,648.75,-15.5,30.61,0,21.5,4394,648.75,-15.5,30.58,0,21.5,4382,648.75,-16,30.46,0,21.6,4382,648.25,-16,30.35,0,21.5,3954,648.75,-16,28.96,0,21.6,4450,648.75,-15.5,30.68,0,22.4,0,0,-1024,0,0,0,0,0,-1024,0,0,0,0,0,-1024,0,0,0,0,0,-1024,0,0,0,0,0,-1024,0,0,0,0,0,-1024,0,0,0,42,0,0,255,28400,29,0,1,0,18.596466,276.55,-453.55,29.1,10.4,21.5,1,-123.88,648.65,136,18.50212,6,12,0,0,0,0,0,0
0,0,0,1613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,37,30,0,37,-125,3.8,1,0,0,-125,-273,0,0,0,0,31213,-273,0,3.8,-50,0,21,0,0,0,0,0,0,0,1,-1,731,-32767,-0.75,0,0,47.2,1.375,1.385,38,29.365,23,0,0,0,0,0,0,0,0,15914,730.75,0,94.75,0,22.8,15892,731,0,94.66,0,22.7,15912,731,0,94.85,0,22.8,15856,730.25,0,94.87,0,22.6,16068,731.5,0,94.93,0,22.8,15866,731,0,94.86,0,22.8,16062,731,0,94.88,0,22.9,16790,731,0,94.67,0,22.7,16954,731.25,0,94.54,0,23,15868,731.5,0,94.7,0,22.9,15910,731.5,0,94.74,0,23,15956,731.5,0,94.34,0,23,0,0,0,0,0,-125,-125,-125,0,0,25.45,-1049.15,94.9,0,22.5,1,0.12,730.8,204,0,4,12,0,0,0,0,0,0
0,0,0,807,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,37,30,0,37,129,0,2,0,8128,129,24.46875,76.16,26100,0,0,30603,41.65625,0,0,-50,0,23,0,0,0,0,0,0,0,1,0,728,0,-0.5,0,0,45,1.31,1.32,44,29.359,24,0,0,0,0,0,1,0,3314,15550,727.5,0,93.48,0,26.7,15652,727.5,0,93.44,0,26.5,15464,727.5,0,93.37,0,26.6,15584,727.75,0,93.46,0,26.6,4604,652.25,0,33.86,0,26.5,15570,728.25,0,93.39,0,26.6,15544,727.25,0,93.44,0,26.7,15358,727.5,0,93.41,0,26.5,15608,728,0,93.4,0,26.6,15580,727.5,0,93.44,0,26.8,15506,727.75,0,93.43,0,26.7,15468,727.75,0,93.42,0,26.7,0,0,0,255,655350,129,0,129,0,0,32.5,-968.8,93.4,0,26.5,1,0.12,721,187,0,6,12,0,0,0,0,0,0
